timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
2902587172,-0.02673324,-0.103768416,-0.06256392,4501,0,1.1349543,1.5747687,-9.520745,5000,0
2902599206,-0.008259152,-0.03530023,-0.14447942,7494,0,-1.2580447,-2.189246,-10.967947,7500,0
2902603659,0.02016164,-0.03975518,-0.12317658,4453,0,1.0194035,4.0220222,-9.290859,4375,0
2902614196,-0.065227464,0.015830355,-0.13896091,6043,0,-0.3958459,-0.55798453,-11.686537,5000,0
2902618645,0.18999419,-0.09415264,-0.18697098,4449,0,-1.4063649,-1.0006704,-11.190467,5001,0
2902629184,-0.014685445,-0.079463355,-0.16901529,6042,0,-0.33084178,3.464292,-9.630796,5000,0
2902633634,-0.07590162,0.04097917,-0.1891536,4450,0,-0.47489864,-0.39517015,-11.557907,5001,0
2902644178,0.09547645,0.052508485,-0.25286603,6047,0,-0.121975556,-1.014818,-10.189593,6249,0
2902653120,0.11716989,0.0026469987,-0.20455427,8942,0,-1.0966915,2.136305,-9.177243,8750,0
2902663612,0.124639995,-0.01714792,-0.27449453,5995,0,-2.3037608,0.43320996,-10.788508,5004,0
2902672606,0.05239957,-0.020666126,-0.25911823,8994,0,2.4361563,0.29047355,-8.182556,8745,0
2902677109,0.052873336,0.08513486,-0.25379002,4503,0,-0.15868333,1.7288651,-11.027432,5004,0
2902689141,0.16330792,0.06547071,-0.31376958,7495,0,-0.4348671,-1.278639,-9.439369,7473,0
2902693591,0.021595623,-0.027718566,-0.2739387,4450,0,-1.4079386,3.9719687,-10.852261,5018,0
2902699586,0.08553328,0.04702837,-0.28369552,5995,0,2.9907882,-0.13047309,-8.136164,4484,0
2902708580,0.10238584,0.07465205,-0.3301226,8994,0,-0.06779162,-1.5508349,-10.337686,8622,0
2902719119,0.014010418,0.023208449,-0.30247787,6043,0,-1.0096711,2.61227,-8.347466,4997,0
2902723569,0.029227626,0.098039664,-0.33386928,4450,0,0.64726704,0.64760643,-10.239371,5000,0
2902734108,0.18807374,0.09803894,-0.3635336,6042,0,0.7675214,-0.9223163,-8.875625,5001,0
2902738558,-0.0044012256,0.00824095,-0.3307452,4450,0,0.30721688,0.8201717,-8.846957,5000,0
2902743055,0.10956372,0.053390242,-0.30308568,4497,0,-1.5345562,3.9934816,-9.058372,5004,0
2902749097,-0.010292997,0.05070361,-0.36639154,6042,0,0.61928385,-5.668452,-11.378921,4996,0
2902753547,0.09188901,0.063759804,-0.39191628,4450,0,-2.373985,0.71856123,-10.805494,5000,0
2902764086,-0.048017282,0.0024503379,-0.35638127,6042,0,0.9249033,1.6063945,-7.5459323,4999,0
2902768536,0.083242714,0.054145835,-0.3427345,4450,0,2.732453,2.880397,-10.7855,5001,0
2902779076,0.17466675,0.044726137,-0.40732136,6038,0,-2.5510242,-0.7957737,-9.7312765,5031,0
2902783526,-0.048843756,-0.051832434,-0.38652402,4450,0,0.03361432,-0.5181169,-8.556496,5697,0
2902788022,0.027321802,-0.019931437,-0.35977814,4496,0,0.27525264,4.6133084,-9.299803,4897,0
2902794065,-0.027145188,0.04887445,-0.3965365,6043,0,2.8662128,-2.2464144,-9.535538,5001,0
2902798514,0.006343245,-0.0038192382,-0.39826152,4449,0,-1.2112246,-0.3414458,-8.535827,4420,0
2902807508,0.099034734,-0.01604817,-0.40932935,8994,0,-0.31844568,-0.97069603,-10.41004,8707,0
2902812005,-0.025175113,-0.061002657,-0.37377086,4497,0,-1.5050559,3.1757557,-8.153402,5050,0
2902816548,0.0019373851,-0.023311947,-0.41390884,4543,0,2.4328363,-0.6025908,-9.978374,4951,0
2902820998,0.020578355,-0.004763526,-0.43999156,4450,0,0.7379353,-1.4717457,-8.095955,4997,0
2902825495,0.058609486,-0.037664555,-0.45542777,4497,0,-0.3240384,-0.10605254,-10.70532,5042,0
2902835988,0.050774768,-0.046789423,-0.39032024,10493,0,-0.6543333,1.6674032,-9.457887,8798,0
2902844981,-0.027907746,-0.0468635,-0.43863207,8993,0,0.2014242,-0.9145666,-9.003427,8661,0
2902849478,0.13969661,-0.020149818,-0.47835937,4497,0,1.997752,-1.1966146,-10.029627,5057,0
2902859970,0.010277717,-0.0595602,-0.3967868,5949,0,-2.0651188,3.9981349,-10.221302,4994,0
2902864467,0.063865416,-0.048356935,-0.4208597,4497,0,1.5109894,-1.0947115,-10.8641405,5052,0
2902869010,0.0009624261,-0.03480978,-0.48007932,4543,0,0.71943915,-4.582924,-7.4372826,4944,0
2902874959,0.10614406,-0.06793432,-0.4759281,5949,0,-0.0792522,1.4824821,-9.715298,5000,0
2902879456,0.116940215,-0.022520524,-0.43227124,4497,0,-1.8310524,1.545801,-9.484924,5078,0
2902891501,0.07008636,-0.00018907976,-0.42889795,7501,0,-1.8879873,0.2543429,-9.747433,6900,0
2902895944,0.11107771,0.027671844,-0.4880059,4443,0,0.7257751,-3.436417,-11.278259,4406,0
2902900441,0.075525336,-0.051180102,-0.4655431,4497,0,-0.6605979,0.5974042,-8.481748,4961,0
